TEMP_COLUMN,TEMP_DATA_TYPE,MAPPED_COLUMN,MAPPED_COLUMN_TYPE
ID_BB_GLOBAL,TEXT,SourceId,IGNORE
TICKER,TEXT,Ticker,KEY
TICKER_AND_EXCH_CODE,TEXT,TickerAndExchCode,DATA
LONG_COMP_NAME,TEXT,LongCompanyName,DATA
BICS_LEVEL_1_SECTOR_NAME,TEXT,L1Industry,DATA
BICS_LEVEL_2_INDUSTRY_GROUP_NAME,TEXT,L2Industry,DATA
BICS_LEVEL_3_INDUSTRY_NAME,TEXT,L3Industry,DATA
BICS_LEVEL_4_SUB_INDUSTRY_NAME,TEXT,L4Industry,DATA
COMPANY_STATUS,TEXT,CompanyType,DATA
CNTRY_OF_DOMICILE,TEXT,CountryOfDomicile,DATA
NUM_OF_EMPLOYEES,INT,NoOfEmployees,DATA
CUR_MKT_CAP,DECIMAL,CurrentMktCap,DATA
PE_RATIO,DECIMAL,PeRatio,DATA
PARENT_TICKER,TEXT,ParentTicker,DATA
LONG_PARENT_COMP_NAME,TEXT,ParentLongName,DATA
ULT_PARENT_TICKER_EXCHANGE,TEXT,UltParentTicker,DATA
ID_BB_ULTIMATE_PARENT_CO_NAME,TEXT,UltParentName,DATA
LONG_ULT_PARENT_COMP_NAME,TEXT,UltParentLongName,DATA
ID_BB_GLOBAL_COMPANY_NAME,TEXT,GlobalCompanyName,DATA
LEI_NAME,TEXT,LeiName,DATA
COMPANY_CORP_TICKER,TEXT,CompanyCorpTicker,DATA
COMPANY_LEGAL_NAME,TEXT,CompanyLegalName,DATA
COMPANY_TO_PARENT_RELATIONSHIP,TEXT,CompParentRelation,DATA
LEI_ULTIMATE_PARENT_COMPANY,TEXT,LeiUltimateParent,DATA
LATEST_ANN_CIE_FILING,TEXT,LatestFiling,DATA
